,title,description,source,job-id,ar-chars
11447,عامل بوفيه - جسر السويس - القاهرة,المهام المطلوبة: القيام بأعمال إعداد تقديم المشروبات الخاصة بأفراد العمل داخل مكتب الإدارة و كذلك ضيوف و زوار الإدارة العليا. الحفاظ على و صيانة و تنظيف البوفيه و جميع الأدوات و الخامات و المعدات الموجودة داخل البوفيه. تنفيذ جميع المهام التى يكلفه بها أعضاء مكتب الإدارة العليا و التى تخص عمله. إعداد المشروبات الساخنة و الباردة و تقديمها لأفراد العمل بمكتب الإدارة العليا أو للضيوف و الزوار. تحرير طلب شراء الأدوات و الخامات و تسليمه لمدير المكتب. - سنة خبرة على الأقل - يجيد القراءة والكتابة بلا شهادة - خدمات,forsana,237612,True
11448,سكرتيرة تنفيذية (مكتب رئيس مجلس الادارة) - الهرم - الجيزة,المهام المطلوبة : تنظيم العمل، وسياسته داخل المكتب. توزيع المهام على موظفي الدوائر والأقسام المختلفة وفقاً لأوامر المدير. تحديد مواعيد المقابلات، واجتماعات المدير، وفقاً لجدول أعماله. ترتيب وتنظيم الملفات، والمستندات المختلفة التي تقوم عليها أعمال الإدارة. استقبال الرسائل الكتابية، والمكالمات، والفاكسات، ورسائل البريد الإلكترونيّ، وعرضها على المدير في أوقات محددة، والرد عليها. حضور الاجتماعات للقيام بعرض جدول الأعمال، وتدوين الملاحظات، والنتائج التي توصل إليها الاجتماع؛ لتوفيرها للمدير في الوقت المناسب. التواصل مع الأقسام المختلفة، والتأكد من تنفيذ القرارات الإداريّة بالشكل المتّفق عليه. تقديم التقارير الدورية للمدير عن متابعة العمل والعاملين، وخاصة الموظفين الجدد، والتأكد من سير أعمالهم بالطريقة الصحيحة، ومدى فعاليتهم في أداء عملهم. عرض الاقتراحات والشكاوي المقدمة من الموظفين والدوائر المختلفة على المدير. المساعده فى متابعه اعمال الاستيراد والتصدير والمتابعه مع الموردين والمستوردين - سنتان- 5 سنوات خبرة - مؤهل عالي - اعمال ادارية,forsana,237610,True
11449,ادخال بيانات - الاقصر - الأقصر,المهام المطلوبة: تحضير وتنظيم البيانات. استخدام أنظمة الحماية المختلفة لحماية البيانات المدخلة. إعداد النسخ الاحتياطية الكاملة للبيانات. تحديث معلومات العملاء أولًا بأول. تعديل البيانات المُدخلة دوريًا وفقًا للتحديثات التي تطرأ عليها في الشركة. التأكد من دقة البيانات والمعلومات. تحديث البيانات والمعلومات أولًا بأول. ضمان عدم وجود أي أخطاء في البيانات المُدخلة. تسجيل وحفظ ونقل البيانات بمختلف طرق التخزين سواءً على ورق أو على الحاسوب. الاحتفاظ بالملفات والمستندات المهمة وحذف الملفات غير المرغوبة. إجراء المسح الضوئي أو الـ Scan على البيانات. مراجعة وتدقيق عملية إدخال البيانات والتحقق من مطابقة البيانات المُدخلة. إعداد كشوفات العمل مثل كشف حضور وغياب الموظفين وكشف يوضِّح أسماء زبائن وعملاء الشركة، وكشف الرواتب، والمزيد. حذف الملفات المكررة للتخلص من تكرار البيانات والمعلومات. التواصل والعمل أحيانًا مع فريق العمل التقني وذلك لضمان حماية البيانات المدخلة بشكل سليم. ضمان توفير طرق سهلة، وسلسة، وسريعة للاستعلام عن البيانات والوصول إليها. طباعة التقارير اليومية والدورية المطلوبة للعمل. - سنة خبرة على الأقل - مؤهل عالي - اعمال ادارية,forsana,237609,True
11450,مراقب أمن - الشرابية - القاهرة,- لا يشترط خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - خدمات,forsana,237608,True
11451,مشرف مبيعات خارجية أدوات صحية - الهرم - الجيزة,* خدمة العملاء من خلال بيع المنتجات وتلبية احتياجات العملاء.* خدمات الحسابات الحالية، والحصول على الطلبات، وإنشاء حسابات جديدة من خلال تخطيط وتنظيم جدول العمل اليومي للاتصال بمنافذ البيع الحالية أو المحتملة وعوامل التجارة الأخرى.* ضبط محتوى عروض المبيعات من خلال دراسة نوع منفذ المبيعات أو عامل التجارة.* التركيز على جهود المبيعات من خلال دراسة الحجم الحالي والمحتمل للتجار.* تقديم الطلبات بالرجوع إلى قوائم الأسعار .* إبقاء الإدارة على اطلاع، من خلال تقديم تقارير الأنشطة والنتائج، مثل تقارير المكالمات اليومية وخطط العمل الأسبوعية والتحليلات الشهرية والسنوية للمناطق.* مراقبة المنافسة، من خلال جمع معلومات السوق الحالية عن الأسعار والمنتجات والمنتجات الجديدة وجداول التسليم وتقنيات الترويج.* التوصية بإجراء تغييرات في المنتجات والخدمات والسياسة، من خلال تقييم النتائج والتطورات التنافسية.* حل شكاوى العملاء، من خلال التحقيق في المشكلات وتطوير الحلول وإعداد التقارير وتقديم التوصيات للإدارة.* توفير السجلات التاريخية، من خلال الاحتفاظ بسجلات في للمنطقة ومبيعات العملاء.* المساهمة في جهود الفريق، من خلال تحقيق النتائج ذات الصلة حسب الحاجة. - سنتان- سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,237607,True
11452,فنى صيانة ميكانيكية معدات والالات - اسوان - اسوان,مزرعه كبرى بمحافظه اسوان تطلب فنى صيانه ميكانيكيه (معدات والالات زراعيه) خبره اكثر من 5 سنوات بالمجالخبره بصيانه واصلاح وتركيب المعدات والالات الزراعيه توجد إقامه كامله للمغتربين - لا يشترط خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - حرف,forsana,237606,True
11453,محاسب - شبرا الخيمة - القليوبية,- الشركة تعمل فى مجال التحكم الآلى (لوحات كهرباء- مغيرات السرعه - plc -drive- الطاقة الشمسية ). خبرة في مراجعة وإعداد اليوميات القوائم المالية خبرة في إعداد قيود اليومية والموازين خبرة في إعداد الإقرارات الضربيبة أو المشاركة فيها خبرة سابقة في مجال المقاولات - 5- 10 سنوات خبرة - مؤهل عالي - مالية وقانونية,forsana,237604,True
11454,مهندس انتاج - مدينة العبور - القاهرة,- سنة خبرة على الأقل - مؤهل عالي - عمارة وهندسة,forsana,237603,True
11455,منسق ممرات (سوبر ماركت) - 15 مايو - القاهرة,مجموعة شركات أمان للاستثمارتعلن عن حاجتها لتعيين وظيفة (منسق ممرات - موظف ممرات) القاهرةمسؤول عن البيع فى الفرع والعرض الجيد للبضائع والمنتجات ومستوى راقى فى خدمة العملاء لتحقيق رضائهم.المعرفة بالمنتجات او الخدمة التي تقدمها الشركه.ترويج وبيع منتجات الشركة إلى العملاء الحاليين وتسجيل المعاملات البيعية في السجلات التي تحددها الشركة.جذب العملاء الجدد للتعامل مع الشركة وفقاً للسياسات التي تحددها.عرض السلع والخدمات عليهم بصورةٍ مناسبة، وتشجيعهم على زيادة الإقبال عليها.الاستماع إلى شكاوي الزبائن، وإرضاؤهم من خلال مُعالجتها وتقديم الحلول المناسبة. - سنة- 3 سنوات خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - تسويق ومبيعات,forsana,237602,True
11456,منسق خدمه عملاء- تصدير - السادس من اكتوبر - الجيزة,"• إصدار التكاليف وعروض الأسعار والمناقصات والحصول على موافقة المدير المباشر قبل إرسالها إلى إدارة المبيعات من أجل تقديمها للعملاء. • معالجة الطلبات على نظام IMS، وضمان إرفاق جميع الوثائق ذات الصلة بعقد البيع. • متابعة حالة الطلب على أساس يومي، والتأكد من عدم وجود تأخير في الطلبات.• إصدار تقارير تحميل الإنتاج من IMS، وتقديمها إلى وحدات الإنتاج والتخطيط. • تلقي التحديثات من وحدة التخطيط فيما يتعلق بحالة الطلبات وإبلاغ إدارة المبيعات وفقا لذلك بأولويات الإنتاج.• إعداد تقارير مخزون السلع النهائية على أساس يومي والتحقق من مستوى المستودع لكل منطقة من مناطق المبيعات. • التنسيق مع مسؤول الشحن من أجل طلب الحاويات في الوقت المحدد وتجنب العقوبات وفقا لETA ( الوقت المقدر للوصول ) .• إصدار مذكرات تسليم أمر عند استلام التواريخ من وحدة الشحن. • إصدار نماذج شكوى العملاء مع الوثائق ذات الصلة مثل الفاتورة، بيان التحميل، ومرجع العميل من أجل استكمال دورة شكوى العملاء• إصدار ملاحظات الائتمان أو الخصم عند الانتهاء من شكاوى العملاء من أجل إغلاق دورة شكوى العملاء. • الحفاظ على وتحديث ملفات العملاء والبيانات على نظام IMS. • الحفاظ على جميع البيانات على نظام تتبع الشركة على الانترنت ""ICOS"" على أساس أسبوعي.• الاتصال بخطوط الشحن المحلية لحل التناقضات في الطلب والشحن المتعلقة بحجوزات الطلبات، وسندات الشحن، والشروط الجمركية، ووثائق الشحن، وإحصائها بشروط وشروط خطاب الاعتمادات. • حساب سعة الحاويات، والتحجيم، وعدد المنصات في كل حاوية. - 3- 6 سنوات خبرة - مؤهل عالي - اعمال ادارية",forsana,237601,True
11457,سائقين (درجة اولي او ثانية) - العاشر من رمضان - الشرقية,1- المحافظة على المظهر العام للسيارة.2- الفحص الدوري يوميا للسيارة (دورة التبريد ، الزيوت ، الفرامل ، الانوار ، الاطارات ،... الخ).3- متابعة وتنسيق اتمام الصيانة الدورية للسيارة.4- ابلاغ مدير الحملة باي ملاحظات / خلل قد يظهر اثناء تشغيل المركبة او عند الفحص اليومي.5- الالتزام بتجديد رخصة القيادة الخاصة به في موعدها.6- التأكد من صلاحية سريان رخصة السيارة.7- الالتزام بالقيادة الامنه للسيارة ( السرعات ، المسافات البينية ، تعليمات المرور واللوحات الارشادية ، ... الخ ). - تحميل السيارة في الموعد المحدد من قبل المدير المباشر.9- مراجعه الشحنات اثناء التحميل بدقه من حيث جوده المنتج وطريقه رص السيارة والكميات المحملة.10- تسليم المنتجات للعملاء طبقا للكميات الموجودة بالفواتير والعد والحصر اثناء تنزيل البضاعة.11- الالتزام بطريقه التحصيل المدرجة بالفاتورة. 12- اقفال الحافظة وتسليمها الي قسم شئون التوزيع.13- اقتراح الإجراءات التحسينية والعلاجية والوقائية التي من شأنها تحسين أداء العمل بإدارته.14- تنفيذ جميع المهام التي يطلبها مديره في حدود العمل بإدارة التوزيع.15- الالتزام التام بالسياسات والاجراءات التنظيمية لإدارة الشحن اثناء تنفيذ اي من المهام السابقة.16- مسئول عن تنفيذ البرامج الخاصة بالادارة و التى تصب فى النهاية لتحقيق الأهداف الرئيسية للمؤسسة.17- دبلوم على الاقل. 1 - رخصه مهنيه ساريه درجة اولى و ثانية. - 3- 10 سنوات خبرة - يجيد القراءة والكتابة بلا شهادة - قيادة وتوصيل,forsana,237600,True
11458,مندوب مبيعات و سائق (العبور) - مدينة العبور - القاهرة,- خبرة من 3-1 سنوات بـنفس المجال السن اقصى حد 32 سنة - الحد الأدنى من المؤهل الدراسي التعليم الفوق متوسط- يمتلك رخصة قيادة - سنة- 3 سنوات خبرة - دبلوم نظام ٥ سنوات (فوق متوسط) - تسويق ومبيعات,forsana,237598,True
11459,مندوب مبيعات و سائق (الاسكندرية) - أمبروز ومحرم بك - الاسكندرية,- خبرة من 3-1 سنوات بـنفس المجال السن اقصى حد 32 سنة- الحد الأدنى من المؤهل الدراسي التعليم الفوق متوسط- يمتلك رخصة قيادة خاصه او مهنيه - سنة- 3 سنوات خبرة - دبلوم نظام ٥ سنوات (فوق متوسط) - تسويق ومبيعات,forsana,237597,True
11460,امين مخزن - الهرم - الجيزة,ساعات العمل من 09:00 صباحاً الي 0 :00 مساءً المهام المطلوبة : مسئول عن القيام بالأعمال الادارية بالمخزن. مسئول عن متابعة الأكواد و الأصناف وفحص و استلام المنتجات و تخزينها. استيفاء أمر الاستلام وتسجيله على نظام الخاص بالشركة. التأكد من استلام الكمية المطلوبة. وزن عينات من المنتجات المستلمة. الالتزام بتعليمات السلامة والصحة المهنية. - 4- 6 سنوات خبرة - ابتدائية - اعمال ادارية,forsana,237596,True
11461,سائق (رخصة مهنية) - العبور - مدينة العبور - القاهرة,- لا يشترط خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - قيادة وتوصيل,forsana,237595,True
11462,مشرف صيانة سيارات - المرج - القاهرة,المهام: استلام وإشراف علي تنفيذ أوامر العمل الاشراف وتقوية عمليات بيع منتجات الافرع. الإشراف الفني علي أداء فريق العمل وتلبية احتياجات العميل الإشراف المباشر والتقييم الفني وتطوير أداء كل العاملين تحت إدارته إمداد العملاء بالمعلومات الفنية وتقديم النصيحة بكل شفافية عن آي مشاكل فنية في تقديم الخدمة إصدار طلبات قطع الغيار و منتجات مطلوبة أثناء تنفيذ أمر العمل القيام باختبار فني للتأكد من جودة التنفيذ الفني إصدار أوامر العمل لإتمامه بما في ذلك قطع الغيار والمنتجات مساعدة مدير الفرع في إنجاز الأعمال المطلوبة يشترط : خبرة 1 سنة كحد أدني كمشرف صيانة سيارات خبرة جيدة فى مجال المبيعات و خدمة العملاء. خبرة مثبتة في إدارة فريق عمل وزيادة الكفاءة والإنتاجية - سنة خبرة على الأقل - مؤهل عالي - عمارة وهندسة,forsana,237594,True
11463,مشرف صيانة سيارات - الزمالك - الجيزة,المهام: استلام وإشراف علي تنفيذ أوامر العمل الاشراف وتقوية عمليات بيع منتجات الافرع. الإشراف الفني علي أداء فريق العمل وتلبية احتياجات العميل الإشراف المباشر والتقييم الفني وتطوير أداء كل العاملين تحت إدارته إمداد العملاء بالمعلومات الفنية وتقديم النصيحة بكل شفافية عن آي مشاكل فنية في تقديم الخدمة إصدار طلبات قطع الغيار و منتجات مطلوبة أثناء تنفيذ أمر العمل القيام باختبار فني للتأكد من جودة التنفيذ الفني إصدار أوامر العمل لإتمامه بما في ذلك قطع الغيار والمنتجات مساعدة مدير الفرع في إنجاز الأعمال المطلوبة يشترط : خبرة 1 سنة كحد أدني كمشرف صيانة سيارات خبرة جيدة فى مجال المبيعات و خدمة العملاء. خبرة مثبتة في إدارة فريق عمل وزيادة الكفاءة والإنتاجية - سنة خبرة على الأقل - مؤهل عالي - عمارة وهندسة,forsana,237593,True
11464,مهندس مبيعات - مدينة نصر - القاهرة,الشركة تعمل فى مجال التحكم الآلى والطاقة الشمسية والمصاعدمهندس كهرباء تخصص ( كهرباء باور - تحكم آلي - الكترونيات )يفضل من لديه خبرة سابقة فى مجال المصاعد - 5- 7 سنوات خبرة - مؤهل عالي - عمارة وهندسة,forsana,237592,True
11465,منسق ارفف وممرات - الجيزة - الجيزة,- العمل بفروع اكتوبر و الجيزة. مهام العمل: مسؤول عن البيع فى الفرع والعرض الجيد للبضائع والمنتجات ومستوى راقى فى خدمة العملاء لتحقيق رضائهم. المعرفة بالمنتجات او الخدمة التي تقدمها الشركه. ترويج وبيع منتجات الشركة إلى العملاء الحاليين وتسجيل المعاملات البيعية في السجلات التي تحددها الشركة. جذب العملاء الجدد للتعامل مع الشركة وفقاً للسياسات التي تحددها. عرض السلع والخدمات عليهم بصورةٍ مناسبة، وتشجيعهم على زيادة الإقبال عليها. الاستماع إلى شكاوي الزبائن، وإرضاؤهم من خلال مُعالجتها وتقديم الحلول المناسبة. - سنة- 3 سنوات خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - خدمات,forsana,237591,True
11466,مندوب مبيعات خارجية - الزرقا - دمياط,تسويق خطوط للشركات الصغيره ومتوسطه الحجم (محلات تجاريه-شركات -صيدليات-مكاتب محاماه-عيادات ..................)وانهاء التعاقد الخاص بها-اجازة جمعة و سبت -خط تليفون مفتوح-عدد ساعات العمل ساعات -فرصة للترقي -في حالة تحقيق 200% يصل الراتب الي 6450 ج - سنة- سنتان خبرة - مؤهل عالي - تسويق ومبيعات,forsana,237590,True
11467,عضو فريق ( كافيه ) - الغردقة - البحر الأحمر,الشركة تعلن عن حاجتها لتعيين الوظائف الاتية لفروع الدوبل شوت (كوفي كورنر):١- عضو فريق Crew Member يفضل من له خبرة سابقة في نفس المجال.تأمينات صحية و أجتماعية و غيرها من الامتيازاتشيفت ٨ ساعات + ساعة راحةذكور فقط - 3 سنوات خبرة على الأكثر - ثانوية فنية نظام ٣ سنوات (متوسط) - سياحة وضيافة,forsana,237589,True
11468,مسئول مبيعات داخلية - العجمى - الاسكندرية,1. يروج للمنتجات داخل الفرع لبيع المنتجات و تلبية إحتياجات العملاء2. يتابع عرض المنتجات لضمان ظهور المنتجات بأفضل حالة3. يخطر مشرف الفرع بطلب الطلبيات اللازمة من المنتجات من المخازن لتوفير المنتجات بالفرع لإتمام الصفقات البيعية4. يرد على إستفسارات العملاء و يتابع حل مشاكل العملاء بما يساهم فى تحقيق رضاء العملاء 5. يستبدل المنتجات التى بها عيوب تصنيع لضمان مستوى خدمة يدعم رضاء العملاء6. يتابع مع مشرف الفرع العروض الترويجية للمنتجات و آخر سعر للمنتجات بما يدعم العملية البيعية7. يحدث أسعار المنتجات و كارت المواصفات الخاص بالمنتجات لضمان المعرفة - سنتان خبرة على الأكثر - مؤهل عالي - تسويق ومبيعات,forsana,237588,True
11469,كابتن اوردر ( التجمع الخامس ) - التجمع الخامس - القاهرة,- 3- 4 سنوات خبرة - دبلوم نظام ٥ سنوات (فوق متوسط) - سياحة وضيافة,forsana,237587,True
11470,تلي سيلز - المهندسين - الجيزة,- ( تيلي سيلز - سوشيال ميديا ) طلبة و متخرجين( مبيعات عبر الهاتف لشركات الاتصالات والشبكات )- تدريب اسبوع مدفوع الاجر - مقر العمل فى المهندسين- الشيفت من 11 ل7 - ساعة بريك- الاجازة الاسبوعية الجمعة - لايشترط خبرة- نقبل طلبة و خريجين- المرتب ثابت + (KPI) كوميشين حسب المبيعات.. - لا يشترط خبرة - تناسب كل المؤهلات - تسويق ومبيعات,forsana,237586,True
11471,امين مخزن (يشترط الخبرة) - مدينة العبور - القليوبية,أمين مخزن بمصنع حلويات ديوكس العنوان /مدينة العبورساعات العمل من :00صباحاً الي 4:00 مساءًالمهام المطلوبة مسئول عن القيام بالأعمال الادارية بالمخزن.مسئول عن متابعة الأكواد و الأصناف وفحص و استلام المنتجات و تخزينها.استيفاء أمر الاستلام وتسجيله على نظام الخاص بالشركة.التأكد من استلام الكمية المطلوبة.وزن عينات من المنتجات المستلمة.الالتزام بتعليمات السلامة والصحة المهنيةالمكان:- العبور الإجازة:- يوم اسبوعي٢١ يوم أجازه سنويه فتح حساب بنكي للقبض بالفيزاالشروط:- من 22الي 35 سنهيوجد سكن للمغتربين يوجد توفير باصات من المريوطيه وحتي المصنع والعكس (دائري المرج )يوجد تأمين صحي بعد ٣شهورتأمين إجتماعي من اول شهر - سنتان- 5 سنوات خبرة - ثانوي عام / أزهري - اعمال ادارية,forsana,237002,True
11472,سائقين (رخصة درجة ثالثة) - السلام - القاهرة,- راتب ثابت + بدلات+ حوافز - سنتان خبرة على الأقل - يجيد القراءة والكتابة بلا شهادة - قيادة وتوصيل,forsana,237584,True
11473,مندوبين مبيعات خارجية - السلام - القاهرة,- يشترط خبرة بمجال الاغذية - راتب ثابت + عمولات + حوافز - 3- 5 سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,237583,True
11474,مندوبين مبيعات خارجية - الزقازيق - الشرقية,- يشترط خبرة بمجال الاغذية - راتب ثابت + عمولات + حوافز - 3- 5 سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,237582,True
11475,مشرف مبيعات خارجية (كفر الشيخ) - الحامول - كفر الشيخ,المهام: التأكد من أن فريق المبيعات في المنطقة التى يتابعها تحقق هدف المبيعات الشهري من خلال التنفيذ الصحيح لخطة المبيعات التي يتم تحديدها مدير المبيعات الإقليمي. يشرف على فريق المبيعات لضمان تحقيق المبيعات الشهرية المستهدفة. تعيين عملاء جدد داخل المنطقة المخصصة والحفاظ على العلاقات الحالية مع العملاء. مراجعة النتائج اليومية لكل بائع وإرسالها إلى مدير المبيعات الإقليمي. يبحث عن أسعار / أنشطة المنافسين ويرفع تقاريرها إلى مدير المبيعات الإقليمي ويوصي بخطط العمل. يشرف على جمع النقود / الآلات اليومية (المرتجعة أو الجديدة) وتسوية الحسابات مع التمويل والمستودعات. يعزز استراتيجيات أمان RTM التي وضعتها الإدارة. يضمن توافر آلات أمان حسب خطة التغطية. يجري زيارات السوق لضمان مستوى الخدمة. تقسيم الهدف / الخطة الشهرية لكل قيمة ووضع الآلات في المبيعات وكبار ممثلي المبيعات. يتحمل مسؤولية تخطيط مسار العميل وإعادة هندسة ذلك كلما دعت الحاجة. تتحمل المسؤولية الكاملة عن النقص النقدي للبائع ضمان التنفيذ السليم للترقيات التجارية إجراء التدريب اليومي لفريق المبيعات التعامل مع العملاء فى الشكاوى والاعتراضات ضمان مستوى عال من التخصصات في فريق المبيعات - 3 سنوات خبرة على الأقل - مؤهل عالي - تسويق ومبيعات,forsana,237581,True
11476,مدير حركة و نقل - مدينة بدر - القاهرة,- مدير حركة سيارات للعمل بأكبر الشركات للاجهزة الكهربائية بمدينة بدر الشروط :-1 - خبرة لاتقل عن 10 سنوات 2 - صاحب شخصية قيادية 3 - لايزيد السن عن 45 سنة - 5- 10 سنوات خبرة - مؤهل عالي - قيادة وتوصيل,forsana,237580,True
11477,مندوب مبيعات خارجية - اخميم - سوهاج,المميزات: - راتب اساسي 3000 جنيه و عمولة مبيعات تصل الى 6000 جنيه. - تأمينات إجتماعية وطبية. - بدل بنزين 5500 جنيه (للمندوبين الذين يمتلكون سيارة). - بدل إنتقالات 3000 جنيه (للمندوبين الذين لا يمتلكون سيارة).يشترط: - خبرة سنة واحدة على الأقل في مجال المبيعات الخارجية. - مؤهل عالي. - من سكان قنا أو سوهاج فقط. يفضل: - خبرة في مجال الاجهزة المنزلية والكهربائية. - إمتلاك سيارة. - سنة خبرة على الأقل - مؤهل عالي - تسويق ومبيعات,forsana,237578,True
11478,مهندس استقبال - القاهرة الجديدة - القاهرة,- سنتان- 4 سنوات خبرة - مؤهل عالي - عمارة وهندسة,forsana,237577,True
11479,مسؤولين مبيعات خارجية (يشترط إمتلاك سيارة) (المنصورة) - المنصورة - الدقهلية,الشركة تعمل في مجال صناعة الدهانات. المهام المطلوبة: ترويج وبيع منتجات الشركه الي العملاء الحاليين. تسجيل المعاملات البيعيه في السجلات التي تحددها الشركه. جذب العملاء الجدد للتعامل مع الشركه وفقا للسياسات التي تحددها. تحقيق الاهداف البيعية المطلوبة. التجهيز والإعداد المسبق لأي أوراق أو مستندات قد يحتاج إليها العميل لإجراء الاتفاقات وإبرام العقود. شرح تفصيلي لكافة منتجات وخدمات الشركة العامل بها، وتشجيع العملاء على اقتنائها. الاهتمام بمشاكل العملاء والمساعدة في حلها، ونقل الشكاوى والاقتراحات إلى إدارة الشركة. بناء العلاقات والتواصل الدائم مع العملاء الحاليين والمحتملين. إعداد خطط عمل واضحة (يومية/أسبوعية/شهرية) وإجراء التحسينات الدورية عليها. - سنتان- 5 سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,237576,True
11480,مسؤولين مبيعات خارجية (يشترط إمتلاك سيارة) (كفر الشيخ) - الحامول - كفر الشيخ,الشركة تعمل في مجال صناعة الدهانات. المهام المطلوبة: ترويج وبيع منتجات الشركه الي العملاء الحاليين. تسجيل المعاملات البيعيه في السجلات التي تحددها الشركه. جذب العملاء الجدد للتعامل مع الشركه وفقا للسياسات التي تحددها. تحقيق الاهداف البيعية المطلوبة. التجهيز والإعداد المسبق لأي أوراق أو مستندات قد يحتاج إليها العميل لإجراء الاتفاقات وإبرام العقود. شرح تفصيلي لكافة منتجات وخدمات الشركة العامل بها، وتشجيع العملاء على اقتنائها. الاهتمام بمشاكل العملاء والمساعدة في حلها، ونقل الشكاوى والاقتراحات إلى إدارة الشركة. بناء العلاقات والتواصل الدائم مع العملاء الحاليين والمحتملين. إعداد خطط عمل واضحة (يومية/أسبوعية/شهرية) وإجراء التحسينات الدورية عليها. - سنة- 5 سنوات خبرة - دبلوم نظام ٥ سنوات (فوق متوسط) - تسويق ومبيعات,forsana,237575,True
11481,مدخل بيانات زهران ماركت - سموحة - الاسكندرية,- سنة- 3 سنوات خبرة - مؤهل عالي - اعمال ادارية,forsana,237572,True
11482,مهندسات مكتب فني - المقطم - القاهرة,- 4- 5 سنوات خبرة - مؤهل عالي - عمارة وهندسة,forsana,237571,True
11483,سائق (رخصة درجة ثانية) - عابدين - القاهرة,- يشترط حسن المظهر - السن من 30 سنة ل 45 سنة- رخصة مهنية تانية او تالتة - مواعيد العمل من 10 صباحا ل 9 مساءا - الإجازة يوم واحد في الأسبوع (جمعة أو أحد) - 6 سنوات خبرة على الأقل - دبلوم نظام ٥ سنوات (فوق متوسط) - قيادة وتوصيل,forsana,237570,True
11484,مشرف تشطيبات - المقطم - القاهرة,- 5- 11 سنة خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - التشييد والبناء,forsana,237569,True
11485,مسئول مبيعات داخلية - العجوزة - الجيزة,المهام المطلوبة : المعرفة بالمنتجات او الخدمة التي تقدمها الشركه. ترويج وبيع منتجات الشركة إلى العملاء الحاليين وتسجيل المعاملات البيعية في السجلات التي تحددها الشركة. جذب العملاء الجدد للتعامل مع الشركة وفقاً للسياسات التي تحددها. عرض السلع والخدمات علي العملاء بصورةٍ مناسبة، وتشجيعهم على زيادة الإقبال عليها. الاستماع إلى شكاوي الزبائن، وإرضاؤهم من خلال مُعالجتها وتقديم الحلول المناسبة. - 3 سنوات خبرة على الأكثر - دبلوم نظام ٥ سنوات (فوق متوسط) - تسويق ومبيعات,forsana,237568,True
11486,مشرفين كهرباء - المقطم - القاهرة,- 7- سنوات خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - حرف,forsana,237567,True
11487,مهندس موقع (معماري) - المقطم - القاهرة,- سنتان- 4 سنوات خبرة - مؤهل عالي - عمارة وهندسة,forsana,237566,True
11488,مندوب تسليم و توزيع - المنصورة - الدقهلية,- سنة- 3 سنوات خبرة - مؤهل عالي - قيادة وتوصيل,forsana,237564,True
11489,فني معدات مطاعم - التجمع الاول - القاهرة,فني صيانة معدات مطاعم للعمل بمطاعم الشركةخبرة لا تقل عن سنتين - سنتان- 5 سنوات خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - حرف,forsana,237563,True
11490,مشرف مبيعات خارجية (خبرة في الاجهزة المنزلية) (وجه بحري) - المنصورة - الدقهلية,- مجال الشركة: تصنيع الاجهزة الكهربائية و الاقمار الصناعية و التكييفات. - يشترط خبرة لاتقل عن 5 سنوات فى تسويق وترويج الاجهزة الكهربائية و يفضل (الشاشات - المراوح - التكييفات). توفر الشركة: - بدل بنزين 5500 جنيه (للمندوبين الذين يمتلكون سيارة). - بدل إنتقالات 3000 جنيه (للمندوبين الذين لا يمتلكون سيارة). مسئوليات الوظيفة: 1. ترويج منتجات الشركة إلى العملاء الحاليين وجذب عملاء جدد.2. معرفة كافة المعلومات المتعلقة بالمنتجات وتقديم شرح وافٍ عنها للعملاء.3. الحصول على طلبات الشراء من العملاء.4. التأكد من رضا العملاء عن المنتجات والخدمات المقدمة.5. التواصل الدائم مع العملاء والتعامل الجيد وتقديم المنتج بأفضل الطرق.6. تغطية كافة العملاء على امتداد المنطقة الجغرافية التي يعمل بها المندوب.7. تحصيل مستحقات الشركة ومتابعة الديون عند العملاء دون تأخير. . تقديم تقارير منتظمة عن المنافسة في السوق من حيث الأسعار والعروض والمنتجات الجديدة والدعاية والإعلان، أو توقف بعض العملاء عن التعامل مع منتجات الشركة - 5 سنوات خبرة على الأقل - مؤهل عالي - تسويق ومبيعات,forsana,237561,True
11491,اخصائي مبيعات خارجية - السادس من اكتوبر - الجيزة,- التواصل مع العملاء وتحديد احتياجاتهم- زيارة العملاء و تحديد احتياجات المشروع- تجهيز عرض سعر و نموذج مواصفات فنية - متابعة الانتهاء من اوامر الشغل و مواعيد التسليم- متابعة تحصيل العملاء و سدادهم - سنة- 3 سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,237560,True
11492,فني غسيل سيارات (لا يشترط خبرة) - القطامية - القاهرة,- لا يشترط خبرة - ابتدائية - خدمات,forsana,237559,True
11493,سائق (رخصة مهنية) - القطامية - القاهرة,- لا يشترط خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - خدمات,forsana,237558,True
